time,binding_all_after,curtail_cause,curtailed_total_mw,margin_after,residual_class,viol_L1,viol_L2,viol_L3,viol_L4,worst_corridor_pct,worst_dso_trafo_pct,worst_plant_pct,pcc_p_mw,available_total_mw
2024-01-10 10:00:00+00:00,L2:SUB_B=0.000271,none,0.0,0.0,none,0,1,0,0,62.75941400801294,56.26811742709974,83.16513462154245,201.65677190112984,248.0211
2024-01-10 10:30:00+00:00,L2:SUB_B=6.412e-05,none,0.0,0.0,none,0,1,0,0,55.06827133070861,56.46671258399096,82.58993117264141,129.0906985468822,234.0647
2024-01-10 16:45:00+00:00,L2:SUB_B=0.001552,none,0.0,0.0,none,0,1,0,0,59.394209947685326,56.52020068311868,83.10769903003083,134.2886229275643,239.8202
2024-01-10 17:00:00+00:00,L2:SUB_B=0.003548,none,0.0,0.0,none,0,1,0,0,62.02987598301842,56.58723790462524,83.78774910628104,141.33772023781205,247.6497
2024-01-10 17:15:00+00:00,L2:SUB_B=0.000252,none,0.0,0.0,none,0,1,0,0,74.82605081113792,56.267646563366256,83.15891328753821,201.58912318051418,247.9469
2024-01-10 17:45:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,76.14590909892799,56.59330622297466,83.85387617357128,142.0149184984431,248.39999999999998
2024-01-10 18:15:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,74.21681891134985,56.59330622297406,83.85387617357027,142.01491849844808,248.39999999999998
2024-01-10 18:45:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,68.28941330613047,56.59330622297809,83.85387617357289,142.01491849843737,248.39999999999998
2024-01-10 19:00:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,63.41278338197217,56.59330622297553,83.85387617357235,142.0149184984517,248.39999999999998
2024-01-10 19:15:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,61.63217235223774,56.59330622298031,83.85387617357259,142.01491849844123,248.39999999999998
2024-01-10 19:30:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,60.06144471766372,56.59330622297899,83.85387617357196,142.0149184984404,248.39999999999998
2024-01-10 19:45:00+00:00,L2:SUB_B=0.003641,none,0.0,0.0,none,0,1,0,0,58.66399422888259,56.590326184503766,83.82146537172007,141.67367847552873,248.0223
2024-01-11 01:15:00+00:00,L2:SUB_B=0.0006669,none,0.0,0.0,none,0,1,0,0,64.67944892986597,41.26327946046027,83.42748865246934,157.81901310244885,248.39999999999998
2024-01-11 01:45:00+00:00,L2:SUB_B=0.0009649,none,0.0,0.0,none,0,1,0,0,61.46211491535095,40.124514169510626,83.59918224038772,162.43191332480916,248.39999999999998
2024-01-11 02:00:00+00:00,L2:SUB_B=0.0006471,none,0.0,0.0,none,0,1,0,0,59.82405309620966,42.96468424401175,83.58519475578662,160.64798876646637,248.39999999999998
2024-01-11 02:15:00+00:00,L2:SUB_B=0.0003096,none,0.0,0.0,none,0,1,0,0,59.91603205780677,41.29840333148294,83.53715151813506,162.52725613092704,248.39999999999998
2024-01-14 19:15:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,61.42052043183575,56.2721207180809,83.20184158413846,201.99821631685347,248.39999999999998
2024-01-14 19:30:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,62.51483801250501,56.272120718081496,83.20184158413802,201.9982163168622,248.39999999999998
2024-01-14 19:45:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,63.68694617678157,56.272120718085084,83.20184158413949,201.99821631685901,248.39999999999998
2024-01-14 20:00:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,64.95535993556686,56.272120718083706,83.20184158413906,201.99821631685955,248.39999999999998
2024-01-14 20:15:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,58.021616351180164,56.593306222986286,83.85387617357549,142.0149184984374,248.39999999999998
2024-01-14 20:30:00+00:00,L2:SUB_B=0.0003803,none,0.0,0.0,none,0,1,0,0,66.96678637153124,56.27212071808636,83.20184158413949,201.9982163168625,248.39999999999998
2024-01-14 20:45:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,59.90232676996865,56.59330622297391,83.85387617357117,142.0149184984463,248.39999999999998
2024-01-14 21:00:00+00:00,L2:SUB_B=0.003731,none,0.0,0.0,none,0,1,0,0,60.93383384134103,56.59330622298218,83.8538761735741,142.01491849844203,248.39999999999998
2024-01-14 21:15:00+00:00,L2:SUB_B=0.003692,none,0.0,0.0,none,0,1,0,0,61.8456326335594,56.592032667791294,83.84004452553985,141.86956536151555,248.2391
2024-01-14 21:30:00+00:00,L2:SUB_B=0.00357,none,0.0,0.0,none,0,1,0,0,62.77976489550962,56.587999246476926,83.79606295626516,141.41927090745534,247.74020000000002
2024-01-15 08:15:00+00:00,L2:SUB_B=0.0002316,none,0.0,0.0,none,0,1,0,0,62.57460232211262,56.26693569341222,83.15208333738401,201.52524501921997,247.8761
2024-01-15 08:30:00+00:00,L2:SUB_B=6.226e-05,none,0.0,0.0,none,0,1,0,0,62.5280939720523,56.26101021732932,83.0952461527287,201.0189746001157,247.31380000000001
2024-01-15 09:15:00+00:00,L2:SUB_B=0.003235,none,0.0,0.0,none,0,1,0,0,55.54484328792007,56.576560805017536,83.67462350719151,140.25529393167054,246.4454
